"","temp_student_id","number_accesses"
"1237",1237,240
"1238",1238,62
"1239",1239,3
"1240",1240,3
"1241",1241,242
"1242",1242,99
"1243",1243,92
"1244",1244,237
"1245",1245,3
"1246",1246,31
"1247",1247,3
"1248",1248,4
"1249",1249,54
"1250",1250,155
"1251",1251,45
"1252",1252,33
"1253",1253,94
"1254",1254,3
"1255",1255,58
"1256",1256,28
"1257",1257,191
"1258",1258,4
"1259",1259,15
"1260",1260,3
"1261",1261,3
"1262",1262,3
"1263",1263,4
"1264",1264,4
"1265",1265,8
"1266",1266,154
"1267",1267,9
"1268",1268,215
"1269",1269,121
"1270",1270,188
"1271",1271,11
"1272",1272,42
"1273",1273,61
"1274",1274,135
"1275",1275,4
"1276",1276,49
"1277",1277,124
"1278",1278,6
"1279",1279,11
"1280",1280,15
"1281",1281,193
"1282",1282,67
"1283",1283,101
"1284",1284,3
"1285",1285,165
"1286",1286,10
"1287",1287,80
"1288",1288,97
"1289",1289,3
"1290",1290,12
"1291",1291,4
"1292",1292,5
"1293",1293,9
"1294",1294,5
"1295",1295,237
"1296",1296,4
"1297",1297,10
"1298",1298,67
"1299",1299,104
"1300",1300,69
"1301",1301,12
"1302",1302,15
"1303",1303,191
"1304",1304,3
"1305",1305,97
"1306",1306,69
"1307",1307,4
"1308",1308,13
"1309",1309,56
"1310",1310,9
"1311",1311,3
"1312",1312,60
"1313",1313,13
"1314",1314,91
"1315",1315,3
"1316",1316,45
"1317",1317,10
"1318",1318,44
"1319",1319,73
"1320",1320,15
"1321",1321,3
"1322",1322,3
"1323",1323,75
"1324",1324,132
"1325",1325,194
"1326",1326,33
"1327",1327,4
"1328",1328,3
"1329",1329,20
"1330",1330,10
"1331",1331,229
"1332",1332,13
"1333",1333,12
"1334",1334,73
"1335",1335,237
"1336",1336,9
"1337",1337,57
"1338",1338,98
"1339",1339,102
"1340",1340,19
"1341",1341,4
"1342",1342,59
"1343",1343,4
"1344",1344,40
"1345",1345,27
"1346",1346,27
"1347",1347,3
"1348",1348,108
"1349",1349,4
"1350",1350,191
"1351",1351,3
"1352",1352,215
"1353",1353,195
"1354",1354,4
"1355",1355,3
"1356",1356,80
"1357",1357,10
"1358",1358,185
"1359",1359,3
"1360",1360,8
"1361",1361,187
"1362",1362,4
"1363",1363,10
"1364",1364,269
"1365",1365,3
"1366",1366,57
"1367",1367,169
"1368",1368,3
"1369",1369,61
"1370",1370,89
"1371",1371,12
"1372",1372,12
"1373",1373,10
"1374",1374,255
"1375",1375,4
"1376",1376,11
"1377",1377,14
"1378",1378,12
"1379",1379,94
"1380",1380,3
"1381",1381,93
"1382",1382,53
"1383",1383,251
"1384",1384,97
"1385",1385,31
"1386",1386,30
"1387",1387,13
"1388",1388,5
"1389",1389,4
"1390",1390,12
"1391",1391,3
"1392",1392,90
"1393",1393,3
"1394",1394,10
"1395",1395,140
